,V_ce,CaseTemp,CycleCount
0,1.755725191,92.96650718,1
1,1.75458015275,92.96650718,2
2,1.7534351145,92.96650718,3
3,1.75229007625,92.96650718,4
4,1.751145038,92.96650718,5
5,1.74999999975,92.96650718,6
6,1.7488549615,92.96650718,7
7,1.74770992325,92.96650718,8
8,1.746564885,92.96650718,9
9,1.7473827694285713,92.96650718,10
10,1.7482006538571429,92.96779611661005,11
11,1.7490185382857142,92.97670149695432,12
12,1.7498364227142855,92.98560687729864,13
13,1.750654307142857,92.99451225764297,14
14,1.7514721915714286,93.00341763798728,15
15,1.752290076,93.0123230183316,16
16,1.7531079604285713,93.0212283986759,17
17,1.7539258448571429,93.0301337790202,18
18,1.7547437292857142,93.03903915936452,19
19,1.7555616137142858,93.04794453970884,20
20,1.756379498142857,93.05684992005314,21
21,1.7571973825714289,93.06575530039746,22
22,1.758015267,93.07466068074176,23
23,1.7553728712307692,93.08356606108607,24
24,1.7527304754615385,93.0924714414304,25
25,1.7500880796923075,93.1013768217747,26
26,1.747445683923077,93.10986557612964,27
27,1.7448032881538462,93.10293916919446,28
28,1.7421608923846157,93.09601276225928,29
29,1.7395184966153845,93.0890863553241,30
30,1.7368761008461535,93.08215994838892,31
31,1.734233705076923,93.07523354145374,32
32,1.7315913093076922,93.06830713451856,33
33,1.7289489135384617,93.06138072758336,34
34,1.7263065177692307,93.0544543206482,35
35,1.723664122,93.047527913713,36
36,1.723091602875,93.04060150677785,37
37,1.72251908375,93.03367509984264,38
38,1.721946564625,93.02674869290747,39
39,1.7213740455,93.0198222859723,40
40,1.7208015263749998,93.01362497451908,41
41,1.72022900725,93.010161771054,42
42,1.719656488125,93.00669856758893,43
43,1.719083969,93.00323536412382,44
44,1.7208015262499998,92.99977216065876,45
45,1.7225190835,92.99630895719366,46
46,1.72423664075,92.99284575372856,47
47,1.725954198,92.9893825502635,48
48,1.7276717552499998,92.9859193467984,49
49,1.7293893125,92.98245614333332,50
50,1.73110686975,92.97899293986823,51
51,1.732824427,92.97552973640316,52
52,1.7333151576428572,92.97206653293809,53
53,1.733805888285714,92.968603329473,54
54,1.7342966189285711,92.97374452466951,55
55,1.7347873495714283,92.99207913126342,56
56,1.7352780802142858,93.01041373785732,57
57,1.7357688108571427,93.02874834445124,58
58,1.7362595415,93.04708295104514,59
59,1.7367502721428572,93.06541755763904,60
60,1.737241002785714,93.08375216423296,61
61,1.7377317334285711,93.10208677082686,62
62,1.7382224640714286,93.12042137742075,63
63,1.7387131947142858,93.13875598401468,64
64,1.7392039253571427,93.15709059060858,65
65,1.739694656,93.17542519720249,66
66,1.7400218097857143,93.19375980379638,67
67,1.7403489635714284,93.2170556293601,68
68,1.7406761173571428,93.24970869062258,69
69,1.7410032711428571,93.28236175188503,70
70,1.7413304249285717,93.31501481314751,71
71,1.7416575787142856,93.34766787441,72
72,1.7419847325,93.38032093567249,73
73,1.7423118862857143,93.41297399693497,74
74,1.7426390400714284,93.44562705819742,75
75,1.7429661938571428,93.4782801194599,76
76,1.7432933476428571,93.51093318072238,77
77,1.7436205014285715,93.54358624198484,78
78,1.7439476552142856,93.57623930324732,79
79,1.744274809,93.6088923645098,80
80,1.7440839693333334,93.64154542577226,81
81,1.7438931296666669,93.67419848703474,82
82,1.74370229,93.7068515482972,83
83,1.743511450333333,93.73284727343766,84
84,1.7433206106666668,93.73631047690274,85
85,1.743129771,93.73977368036785,86
86,1.7429389313333332,93.7432368838329,87
87,1.7427480916666669,93.746700087298,88
88,1.742557252,93.75016329076308,89
89,1.7423664123333331,93.75362649422816,90
90,1.7421755726666666,93.75708969769325,91
91,1.741984733,93.76055290115832,92
92,1.7399236643,93.7640161046234,93
93,1.7378625956,93.7674793080885,94
94,1.7358015269,93.7709425115536,95
95,1.7337404582,93.77440571501866,96
96,1.7316793895,93.77786891848376,97
97,1.7296183208,93.78112814881024,98
98,1.7275572521,93.78409660891582,99
99,1.7254961834,93.78706506902137,100
100,1.7234351147,93.79003352912692,101
101,1.721374046,93.7930019892325,102
102,1.721374046,93.79597044933806,103
103,1.721374046,93.79893890944362,104
104,1.721374046,93.80190736954918,105
105,1.721374046,93.80487582965472,106
106,1.721374046,93.8078442897603,107
107,1.721374046,93.81081274986586,108
108,1.721374046,93.81378120997142,109
109,1.721374046,93.816749670077,110
110,1.721374046,93.81971813018257,111
111,1.720530333631579,93.82268659028811,112
112,1.719686621263158,93.82565505039366,113
113,1.7188429088947368,93.83160773064834,114
114,1.7179991965263155,93.84473144907834,115
115,1.7171554841578949,93.85785516750836,116
116,1.7163117717894736,93.87097888593834,117
117,1.7154680594210523,93.88410260436834,118
118,1.7146243470526314,93.89722632279832,119
119,1.7137806346842104,93.91035004122833,120
120,1.7129369223157895,93.92347375965834,121
121,1.7120932099473685,93.93659747808832,122
122,1.7112494975789474,93.94972119651833,123
123,1.7104057852105263,93.96284491494832,124
124,1.7095620728421053,93.97596863337832,125
125,1.7087183604736842,93.98909235180832,126
126,1.7078746481052631,94.00221607023832,127
127,1.707030935736842,94.01533978866831,128
128,1.706187223368421,94.02524807705863,129
129,1.705343511,94.03384637533222,130
130,1.7082061065,94.0424446736058,131
131,1.711068702,94.0510429718794,132
132,1.7139312974999998,94.059641270153,133
133,1.716793893,94.06823956842658,134
134,1.7196564885,94.07683786670016,135
135,1.722519084,94.08543616497376,136
136,1.7253816795,94.09403446324735,137
137,1.728244275,94.10263276152094,138
138,1.7284987278888888,94.11123105979452,139
139,1.7287531807777778,94.11982935806812,140
140,1.7290076336666669,94.12842765634171,141
